Row_Index,Group_A,Arm_Wrist_Score,Group_B,Neck_Trunk_Legs_Score,RULA_Score
1,4,4,5,5,5
2,3,3,5,5,4
3,4,4,5,5,5
4,3,3,5,5,4
5,3,3,4,4,4
6,4,4,4,4,4
7,4,4,3,3,3
8,4,4,3,3,3
9,4,4,3,3,3
10,4,4,3,3,3
11,4,4,6,6,6
12,3,3,3,3,3
13,4,4,3,3,3
14,4,4,4,4,4
15,4,4,4,4,4
16,4,4,5,5,5
17,4,4,5,5,5
18,4,4,5,5,5
19,3,3,3,3,3
20,3,3,4,4,4
21,3,3,4,4,4
22,3,3,7,7,6
23,3,3,3,3,3
24,3,3,3,3,3
25,3,3,3,3,3
26,3,3,4,4,4
27,3,3,2,2,3
28,3,3,2,2,3
29,3,3,2,2,3
30,3,3,7,7,6
31,3,3,5,5,4
32,3,3,3,3,3
33,3,3,3,3,3
34,3,3,3,3,3
35,3,3,6,6,5
36,3,3,5,5,4
37,3,3,3,3,3
38,3,3,5,5,4
39,3,3,6,6,5
40,4,4,5,5,5
41,4,4,5,5,5
42,4,4,5,5,5
43,4,4,4,4,4
44,4,4,5,5,5
45,4,4,7,7,6
46,4,4,4,4,4
47,4,4,3,3,3
48,4,4,3,3,3
49,4,4,4,4,4
50,4,4,6,6,6
51,4,4,3,3,3
52,4,4,5,5,5
53,4,4,6,6,6
54,4,4,7,7,6
55,4,4,4,4,4
56,4,4,5,5,5
57,4,4,7,7,6
58,4,4,3,3,3
59,3,3,3,3,3
60,4,4,3,3,3
61,4,4,6,6,6
62,4,4,3,3,3
63,4,4,5,5,5
64,4,4,4,4,4
65,3,3,3,3,3
66,3,3,5,5,4
67,3,3,7,7,6
68,3,3,4,4,4
69,3,3,5,5,4
70,3,3,4,4,4
71,3,3,4,4,4
72,4,4,3,3,3
73,3,3,3,3,3
74,3,3,5,5,4
75,4,4,5,5,5
76,3,3,4,4,4
77,3,3,6,6,5
78,4,4,6,6,6
79,3,3,3,3,3
80,3,3,6,6,5
81,4,4,5,5,5
82,4,4,4,4,4
83,4,4,3,3,3
84,3,3,4,4,4
85,4,4,4,4,4
86,3,3,6,6,5
87,4,4,3,3,3
88,4,4,5,5,5
89,4,4,6,6,6
90,4,4,4,4,4
91,3,3,4,4,4
92,4,4,3,3,3
93,3,3,6,6,5
94,4,4,3,3,3
95,4,4,3,3,3
96,4,4,5,5,5
97,3,3,5,5,4
98,4,4,4,4,4
99,4,4,3,3,3
100,3,3,5,5,4
101,4,4,7,7,6
102,4,4,5,5,5
103,4,4,3,3,3
104,3,3,4,4,4
105,3,3,3,3,3
106,4,4,5,5,5
107,3,3,3,3,3
108,3,3,3,3,3
109,3,3,6,6,5
110,3,3,5,5,4
111,3,3,6,6,5
112,3,3,4,4,4
113,3,3,3,3,3
114,3,3,4,4,4
115,3,3,3,3,3
116,3,3,4,4,4
117,3,3,3,3,3
118,3,3,5,5,4
119,3,3,3,3,3
120,3,3,7,7,6
121,3,3,4,4,4
122,3,3,5,5,4
123,3,3,5,5,4
124,2,2,3,3,3
125,3,3,3,3,3
126,3,3,5,5,4
127,3,3,5,5,4
128,3,3,7,7,6
129,3,3,4,4,4
130,3,3,3,3,3
131,3,3,4,4,4
132,3,3,3,3,3
133,3,3,5,5,4
134,2,2,4,4,4
135,3,3,4,4,4
136,3,3,4,4,4
137,2,2,5,5,4
138,3,3,5,5,4
139,3,3,3,3,3
140,2,2,4,4,4
141,4,4,4,4,4
142,4,4,5,5,5
143,4,4,5,5,5
144,4,4,3,3,3
145,3,3,3,3,3
146,3,3,5,5,4
147,3,3,3,3,3
148,3,3,4,4,4
149,3,3,6,6,5
150,3,3,6,6,5
151,2,2,6,6,5
152,3,3,4,4,4
153,3,3,5,5,4
154,3,3,4,4,4
155,3,3,7,7,6
156,3,3,5,5,4
157,3,3,3,3,3
158,2,2,5,5,4
159,4,4,3,3,3
160,3,3,4,4,4
161,3,3,4,4,4
162,3,3,7,7,6
163,3,3,3,3,3
164,4,4,5,5,5
165,3,3,5,5,4
166,4,4,7,7,6
167,3,3,4,4,4
168,3,3,6,6,5
169,3,3,4,4,4
